ClassID,Packet,Delay (ms)
0,1,0.0
0,2,0.053
0,2,1.499
1,4,0.0
3,4,0.0
0,1,0.654
1,5,0.0
2,4,0.0
3,5,0.0
0,3,0.056
1,6,0.06
2,5,0.0
0,3,0.06
3,6,0.057
1,7,0.064
2,6,0.058
0,2,0.802
1,8,0.79
3,7,0.058
2,7,0.058
0,3,1.358
1,9,0.061
3,8,0.057
2,8,0.054
1,10,0.061
3,9,0.059000000000000004
2,9,0.059000000000000004
1,11,0.05
3,10,0.038
2,10,0.063
1,12,0.07
3,11,0.024
2,11,0.061
1,13,0.022
3,12,0.021
2,12,0.022
1,14,0.077
3,13,0.04
2,13,0.055
1,15,0.02
3,14,0.038
2,14,0.055
1,16,0.062
3,15,0.022
2,15,0.019
1,17,0.057
3,16,0.021
2,16,0.054
1,18,0.064
3,17,0.022
2,17,0.035
1,19,0.019
3,18,0.02
2,18,0.023
1,20,0.018000000000000002
3,19,0.02
2,19,0.024
1,21,0.021
3,20,0.019
2,20,0.026000000000000002
1,22,0.019
3,21,0.019
2,21,0.022
1,23,0.018000000000000002
3,22,0.019
2,22,0.023
1,24,0.041
3,23,0.018000000000000002
2,23,0.055
1,25,0.015
3,24,0.054
2,24,0.021
1,26,0.036000000000000004
3,25,0.019
2,25,0.022
1,27,0.039
3,26,0.018000000000000002
2,26,0.055
1,28,0.019
3,27,0.051000000000000004
2,27,0.021
1,29,0.061
3,28,0.056
2,28,0.023
1,30,0.02
3,29,0.057
2,29,0.07
1,31,0.063
3,30,0.019
2,30,0.064
1,32,0.051000000000000004
3,31,0.054
2,31,0.06
1,33,0.298
3,32,0.47800000000000004
2,32,1.225
1,34,0.056
3,33,0.006
2,33,0.055
1,35,0.008
3,34,0.051000000000000004
2,34,0.008
1,36,0.007
3,35,0.34500000000000003
2,35,0.007
1,37,0.007
3,36,0.007
2,36,0.442
1,38,0.007
3,37,0.006
2,37,0.464
1,39,0.008
3,38,0.009000000000000001
2,38,0.312
1,40,0.008
3,39,0.007
2,39,0.995
1,41,0.008
3,40,0.008
2,40,0.007
1,42,0.009000000000000001
3,41,0.007
2,41,0.009000000000000001
1,43,0.17400000000000002
3,42,0.182
2,42,0.054
1,44,0.054
3,43,0.058
2,43,0.041
1,45,0.008
3,44,0.05
2,44,0.008
1,46,0.029
3,45,0.645
2,45,0.055
1,47,0.062
3,46,0.156
2,46,0.38
1,48,0.007
3,47,0.063
2,47,0.022
1,49,0.019
3,48,0.029
2,48,0.198
1,50,0.052000000000000005
3,49,0.019
2,49,0.052000000000000005
1,51,0.023
3,50,0.018000000000000002
2,50,0.008
3,51,0.019
2,51,0.021
1,52,0.019
1,53,0.018000000000000002
3,52,0.029
2,52,0.40900000000000003
1,54,4.87
3,53,0.019
2,53,0.229
1,55,0.019
3,54,0.023
2,54,0.019
1,56,3.97
3,55,0.021
2,55,0.022
1,57,0.019
3,56,0.023
2,56,0.021
1,58,0.021
3,57,0.019
2,57,0.019
1,59,0.022
3,58,0.649
2,58,0.021
1,60,0.021
3,59,0.022
2,59,1.25
1,61,0.021
3,60,0.026000000000000002
2,60,0.021
1,62,0.022
3,61,0.021
2,61,0.036000000000000004
1,63,0.033
3,62,0.022
2,62,1.464
1,64,0.022
3,63,0.021
2,63,0.021
1,65,0.022
3,64,0.019
2,64,0.685
1,66,0.021
3,65,0.021
2,65,0.024
3,66,0.028
1,67,0.319
2,66,0.022
3,67,0.022
1,68,0.028
2,67,0.031
3,68,0.03
2,68,0.022
1,69,0.067
3,69,0.021
2,69,0.021
1,70,0.025
1,71,0.011
3,70,0.019
2,70,0.021
3,71,0.031
1,72,0.02
2,71,0.022
3,72,0.021
1,73,5.007
2,72,0.024
3,73,0.063
2,73,0.05
1,74,0.016
1,75,0.056
3,74,0.022
2,74,1.163
1,76,0.021
3,75,0.024
2,75,0.024
1,77,0.034
3,76,0.021
2,76,0.02
3,77,0.055
1,78,0.6980000000000001
2,77,0.021
1,79,4.5600000000000005
3,78,1.206
2,78,0.007
1,80,0.008
3,79,0.023
2,79,0.007
1,81,0.007
3,80,0.007
2,80,0.019
1,82,0.008
3,81,0.007
2,81,0.248
1,83,0.006
3,82,0.007
2,82,0.426
1,84,0.056
3,83,0.061
2,83,0.14400000000000002
1,85,0.02
3,84,0.019
2,84,0.034
1,86,0.008
3,85,0.018000000000000002
2,85,0.018000000000000002
1,87,0.019
3,86,0.006
2,86,0.023
1,88,0.019
3,87,0.022
2,87,0.022
1,89,0.018000000000000002
3,88,0.019
2,88,0.20700000000000002
3,89,0.023
1,90,0.019
2,89,0.023
1,91,0.019
3,90,0.018000000000000002
2,90,0.023
3,91,0.021
1,92,0.024
2,91,0.022
3,92,0.024
2,92,0.07
1,93,0.018000000000000002
1,94,0.022
3,93,0.055
2,93,0.019
1,95,0.021
3,94,0.022
2,94,0.021
1,96,4.394
3,95,0.019
2,95,1.351
1,97,0.023
3,96,0.022
2,96,0.022
1,98,0.843
3,97,0.021
2,97,0.021
1,99,0.8160000000000001
3,98,0.875
2,98,0.029
1,100,0.352
3,99,0.02
2,99,0.009000000000000001
3,100,0.007
2,100,1.739
1,101,0.025
1,102,0.007
3,101,0.025
2,101,0.03
1,103,0.007
3,102,0.007
2,102,0.008
1,104,0.728
3,103,1.195
2,103,1.706
3,104,0.007
1,105,0.006
2,104,0.008
1,106,0.007
3,105,1.61
2,105,0.008
1,107,0.244
3,106,2.211
2,106,0.112
1,108,0.007
3,107,1.103
2,107,0.008
1,109,0.008
3,108,0.006
2,108,0.007
1,110,2.874
3,109,0.008
2,109,0.008
1,111,0.008
3,110,0.006
2,110,0.008
1,112,0.008
3,111,0.007
2,111,0.008
1,113,0.008
3,112,0.006
2,112,0.009000000000000001
1,114,0.007
3,113,0.007
2,113,0.008
1,115,0.011
3,114,0.007
2,114,0.007
1,116,0.007
3,115,0.008
2,115,0.056
1,117,0.059000000000000004
3,116,0.043000000000000003
2,116,0.008
1,118,0.343
3,117,0.134
2,117,0.027
1,119,0.218
3,118,0.49
2,118,0.021
1,120,0.023
3,119,0.026000000000000002
2,119,1.8880000000000001
1,121,0.328
3,120,0.007
2,120,0.021
3,121,0.019
2,121,0.024
1,122,0.008
1,123,0.022
3,122,0.52
2,122,1.372
1,124,1.81
3,123,0.402
2,123,0.22
1,125,0.051000000000000004
3,124,0.08700000000000001
2,124,0.02
3,125,0.042
1,126,0.055
2,125,0.066
3,126,1.313
1,127,1.2750000000000001
2,126,0.054
1,128,0.052000000000000005
3,127,0.061
2,127,0.018000000000000002
1,129,3.2600000000000002
3,128,0.053
2,128,0.65
1,130,3.226
3,129,0.054
2,129,0.059000000000000004
1,131,0.968
3,130,0.051000000000000004
2,130,0.052000000000000005
1,132,2.048
3,131,0.07200000000000001
2,131,0.056
1,133,0.14
3,132,0.055
2,132,0.32
1,134,0.051000000000000004
3,133,0.053
2,133,0.063
1,135,0.092
3,134,0.07
2,134,0.053
1,136,0.056
3,135,0.055
2,135,0.051000000000000004
1,137,0.092
3,136,0.152
2,136,0.019
1,138,2.298
3,137,0.055
2,137,4.144
1,139,4.952
3,138,4.3260000000000005
2,138,3.997
1,140,10.058
3,139,7.4030000000000005
2,139,3.9370000000000003
1,141,0.117
3,140,0.009000000000000001
2,140,0.43
2,141,0.281
1,142,0.073
3,141,0.058
2,142,0.517
1,143,0.217
3,142,0.361
2,143,3.46
3,143,0.057
1,144,0.623
3,144,0.054
3,145,2.174
2,144,3.458
2,145,0.063
3,146,3.116
2,146,2.489
1,145,0.582
1,146,0.052000000000000005
1,147,0.052000000000000005
2,147,0.057
3,147,0.058
1,148,0.06
2,148,2.747
3,150,4.216
1,149,8.288
2,149,3.097
3,151,0.021
1,150,3.789
2,150,3.045
3,152,0.038
1,151,3.64
2,151,0.018000000000000002
3,153,0.021
1,152,3.2520000000000002
2,152,0.031
3,154,0.466
1,153,2.435
2,153,1.971
3,155,0.08
1,154,2.519
2,154,0.058
3,156,0.011
1,155,2.345
2,155,0.004
3,157,0.024
1,156,2.009
2,156,0.005
3,158,0.011
1,157,1.913
2,157,0.005
3,159,0.011
1,158,0.518
2,158,0.005
3,160,0.007
1,159,0.009000000000000001
2,159,0.007
3,161,0.007
1,160,0.054
2,160,0.152
3,162,0.01
2,161,0.548
1,161,0.007
3,163,0.008
1,162,0.092
2,162,0.02
3,164,0.006
1,163,0.008
2,163,0.763
3,165,0.008
1,164,0.008
2,164,0.006
3,166,0.008
1,165,0.007
2,165,0.007
3,167,0.008
1,166,0.007
2,166,0.007
3,168,0.008
1,167,0.006
2,167,0.007
3,169,0.007
1,168,0.007
2,168,0.007
3,170,0.011
1,169,0.043000000000000003
2,169,0.008
3,171,0.007
1,170,0.008
2,170,0.008
3,172,0.007
1,171,0.009000000000000001
2,171,0.007
3,173,0.009000000000000001
1,172,0.007
2,172,0.009000000000000001
3,174,0.008
1,173,0.006
2,173,0.008
3,175,0.008
1,174,0.008
2,174,0.008
3,176,0.225
1,175,0.008
2,175,0.621
3,177,0.006
1,176,0.009000000000000001
2,176,0.007
3,178,0.009000000000000001
1,177,0.007
2,177,0.007
3,179,0.007
1,178,0.008
2,178,0.009000000000000001
3,180,0.007
1,179,0.162
2,179,0.007
3,181,0.007
1,180,0.079
2,180,0.008
3,182,1.349
1,181,0.032
2,181,0.007
3,183,0.007
1,182,0.008
2,182,0.279
3,184,0.008
1,183,0.007
2,183,0.008
3,185,0.008
1,184,0.007
2,184,0.007
3,186,0.006
1,185,0.043000000000000003
2,185,0.038
3,187,0.008
1,186,0.55
2,186,0.006
3,188,0.049
1,187,0.007
2,187,0.008
3,189,0.006
1,188,0.006
2,188,0.008
3,190,0.009000000000000001
1,189,0.008
2,189,0.008
3,191,0.009000000000000001
1,190,0.792
2,190,0.007
3,192,0.008
1,191,0.007
2,191,0.009000000000000001
3,193,0.008
1,192,0.007
2,192,0.007
3,194,0.009000000000000001
1,193,0.007
2,193,0.887
3,195,0.055
1,194,0.052000000000000005
2,194,0.051000000000000004
3,196,0.055
1,195,0.054
2,195,0.053
3,197,0.008
1,196,0.058
2,196,0.007
3,198,0.221
1,197,0.052000000000000005
2,197,0.158
3,199,0.061
1,198,0.131
2,198,0.021
3,200,0.053
1,199,0.022
2,199,0.053
3,201,0.056
1,200,0.221
2,200,0.021
3,202,0.051000000000000004
1,201,0.02
2,201,0.022
3,203,0.061
1,202,0.022
2,202,0.053
3,204,0.008
1,203,0.007
2,203,0.053
3,205,0.065
1,204,0.037
2,204,0.006
3,206,0.009000000000000001
1,205,0.007
2,205,0.022
3,207,1.089
1,206,0.009000000000000001
2,206,0.009000000000000001
3,208,0.007
1,207,0.008
2,207,0.008
3,209,0.01
1,208,0.007
2,208,0.008
3,210,0.007
1,209,0.008
2,209,0.006
3,211,1.19
1,210,0.008
2,210,0.457
3,212,1.076
1,211,0.022
2,211,0.008
3,213,0.007
1,212,0.008
2,212,0.007
3,214,0.266
1,213,0.007
2,213,0.007
3,215,0.031
1,214,0.007
2,214,0.008
3,216,0.339
1,215,0.007
2,215,0.022
3,217,0.008
1,216,0.007
3,218,0.009000000000000001
2,216,0.007
1,217,0.008
2,217,0.007
3,219,0.009000000000000001
1,218,0.008
2,218,0.025
3,220,0.008
1,219,0.313
3,221,0.009000000000000001
2,219,0.008
1,220,0.007
2,220,0.007
3,222,0.008
1,221,0.008
2,221,3.031
3,223,0.008
1,222,0.006
2,222,0.263
3,224,0.008
1,223,0.007
2,223,2.836
3,225,2.081
1,224,0.307
2,224,0.007
3,226,0.008
1,225,0.007
2,225,0.007
3,227,0.007
1,226,0.008
2,226,0.006
3,228,0.008
1,227,0.008
2,227,0.007
3,229,0.128
1,228,0.007
2,228,0.051000000000000004
3,230,0.521
1,229,0.008
2,229,0.055
3,231,0.017
1,230,0.008
2,230,0.035
3,232,0.024
1,231,0.044
2,231,0.123
3,233,0.016
1,232,0.026000000000000002
2,232,0.007
3,234,0.126
1,233,0.007
2,233,0.007
3,235,0.007
1,234,0.069
2,234,0.03
3,236,0.109
1,235,0.021
2,235,0.027
3,237,0.02
1,236,0.021
2,236,0.031
3,238,0.021
1,237,0.018000000000000002
2,237,0.029
3,239,0.021
1,238,0.269
2,238,0.773
3,240,0.028
1,239,0.314
2,239,0.674
3,241,0.459
1,240,0.022
2,240,0.019
1,241,0.02
2,241,0.031
3,245,0.02
1,242,3.975
2,242,3.263
3,246,0.048
1,243,0.02
2,243,3.372
3,247,0.02
1,244,3.69
2,244,3.087
3,248,0.018000000000000002
1,245,0.016
2,245,3.164
3,249,0.021
1,246,0.009000000000000001
2,246,2.121
3,250,0.03
1,247,0.021
2,247,15.479000000000001
3,251,0.021
1,248,0.074
2,248,0.40800000000000003
3,252,0.193
1,249,0.433
2,249,2.434
3,253,0.808
1,250,0.051000000000000004
2,250,2.34
3,254,0.765
1,251,0.06
2,251,0.492
3,255,0.9410000000000001
1,252,0.055
2,252,1.611
3,256,0.752
1,253,0.054
2,253,0.051000000000000004
3,257,0.431
1,254,0.043000000000000003
2,254,0.463
3,258,0.232
1,255,0.194
2,255,0.40700000000000003
3,259,0.579
1,256,0.027
2,256,0.05
3,260,0.02
2,257,0.022
2,258,0.091
2,259,0.108
1,257,0.024
1,258,0.013000000000000001
1,259,0.013000000000000001
1,260,0.14200000000000002
2,260,0.9450000000000001
1,261,0.013000000000000001
3,262,0.014
2,261,2.803
1,262,0.06
2,262,2.803
3,263,0.021
1,263,8.678
2,263,2.466
3,264,0.019
1,264,0.17400000000000002
2,264,5.507
3,265,0.023
1,265,6.0040000000000004
2,265,0.105
3,266,0.116
1,266,0.9
2,266,0.022
3,267,0.025
1,267,0.8220000000000001
3,268,0.032
2,267,4.433
1,268,0.024
2,268,0.023
3,269,0.022
1,269,1.737
2,269,3.052
3,270,0.026000000000000002
1,270,0.371
2,270,2.9290000000000003
3,271,0.02
1,271,0.419
2,271,0.025
3,272,0.07200000000000001
1,272,0.052000000000000005
2,272,0.052000000000000005
3,273,0.113
1,273,0.051000000000000004
2,273,0.053
3,274,0.125
1,274,0.055
2,274,0.074
3,275,0.053
1,275,0.07100000000000001
2,275,2.34
3,276,0.024
1,276,0.055
2,276,0.064
3,277,0.042
1,277,0.212
2,277,0.633
3,278,0.054
1,278,0.053
2,278,0.024
3,279,0.021
1,279,0.303
2,279,0.558
3,280,0.022
1,280,0.026000000000000002
2,280,0.022
3,281,0.067
1,281,0.19
2,281,0.47000000000000003
3,282,0.043000000000000003
1,282,0.024
2,282,0.051000000000000004
3,283,0.061
1,283,0.312
2,283,0.745
3,284,0.043000000000000003
1,284,0.055
2,284,0.052000000000000005
3,285,0.056
1,285,0.025
2,285,0.053
3,286,0.33
1,286,0.056
2,286,0.048
3,287,0.082
1,287,0.052000000000000005
3,288,0.133
2,287,0.051000000000000004
1,288,0.07200000000000001
3,289,0.055
2,288,0.061
1,289,0.051000000000000004
2,289,0.054
3,290,0.064
1,290,0.209
2,290,2.585
3,291,0.245
1,291,0.066
2,291,1.944
3,292,0.022
1,292,0.066
2,292,0.05
3,293,0.029
1,293,0.044
2,293,2.275
3,294,0.029
1,294,0.082
2,294,0.065
3,295,0.022
1,295,0.089
2,295,0.063
3,296,0.061
1,296,0.057
2,296,0.024
3,297,0.024
1,297,0.037
2,297,0.012
3,298,0.051000000000000004
1,298,0.056
2,298,0.051000000000000004
3,299,0.154
1,299,0.051000000000000004
2,299,0.055
3,300,0.921
1,300,0.052000000000000005
2,300,0.051000000000000004
3,301,0.755
